date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:01	2112/2112	---M--	200	added ('OK')	image/png	etag:%22ffce810b8bb720894357e33755c6df54%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-32x32.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-32x32.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:02	5739/5739	---M--	200	added ('OK')	image/png	etag:%22891dd01fd474b3f414e9c22f9ada8b23%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-96x96.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-96x96.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:03	1299/1299	---M--	200	added ('OK')	image/png	etag:%2296c6c99989eaea81f596b820698ef98f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-16x16.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-16x16.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:04	8798/8798	---M--	200	added ('OK')	image/png	etag:%225deec25e7b6a1e75c9ef93294d865a6f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/ms-icon-144x144.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/ms-icon-144x144.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:04	2587/2587	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202023%2010:23:05%20GMT	https://use.typekit.net/mfg7yeo.css	D:/Website%20copy/Shin/use.typekit.net/mfg7yeo.css	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:06	57483/57483	---M--	200	added ('OK')	text/javascript	etag:%22df5c3a16eef1d2c5%22	https://apis.google.com/js/platform.js	D:/Website%20copy/Shin/apis.google.com/js/platform.js	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:06	5/5	---M--	200	added ('OK')	text/css	etag:%2264c3b70f-5%22	https://p.typekit.net/p.css?s=1&k=mfg7yeo&ht=tk&f=7986.7992.7996.7998&a=309439&app=typekit&e=css	D:/Website%20copy/Shin/p.typekit.net/p9cbe.css	(from https://use.typekit.net/mfg7yeo.css)
17:23:06	24368/24368	---M--	200	added ('OK')	application/font-woff2	etag:%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/l?subset_id=2&fvd=n4&v=3	D:/Website%20copy/Shin/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/l0b8e	(from https://use.typekit.net/mfg7yeo.css)
17:23:07	24936/24936	---M--	200	added ('OK')	application/font-woff	etag:%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/d?subset_id=2&fvd=n4&v=3	D:/Website%20copy/Shin/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/d0b8e	(from https://use.typekit.net/mfg7yeo.css)
17:23:07	662385/662385	---M--	200	added ('OK')	application/javascript	etag:%22628db4d4d6ccdd6cc5835c4a6dcd2a2d%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.js	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.js	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:07	43988/43988	---M-Z	200	added ('OK')	font/opentype	etag:W/%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/a?subset_id=2&fvd=n4&v=3	D:/Website%20copy/Shin/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/a0b8e	(from https://use.typekit.net/mfg7yeo.css)
17:23:07	21028/21028	---M--	200	added ('OK')	application/font-woff2	etag:%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/l?subset_id=2&fvd=n3&v=3	D:/Website%20copy/Shin/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/l6651	(from https://use.typekit.net/mfg7yeo.css)
17:23:07	21344/21344	---M--	200	added ('OK')	application/font-woff	etag:%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/d?subset_id=2&fvd=n3&v=3	D:/Website%20copy/Shin/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/d6651	(from https://use.typekit.net/mfg7yeo.css)
17:23:07	33084/33084	---M-Z	200	added ('OK')	font/opentype	etag:W/%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/a?subset_id=2&fvd=n3&v=3	D:/Website%20copy/Shin/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/a6651	(from https://use.typekit.net/mfg7yeo.css)
17:23:08	20012/20012	---M--	200	added ('OK')	application/font-woff2	etag:%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/l?subset_id=2&fvd=n5&v=3	D:/Website%20copy/Shin/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/l7188	(from https://use.typekit.net/mfg7yeo.css)
17:23:08	20336/20336	---M--	200	added ('OK')	application/font-woff	etag:%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/d?subset_id=2&fvd=n5&v=3	D:/Website%20copy/Shin/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/d7188	(from https://use.typekit.net/mfg7yeo.css)
17:23:08	29664/29664	---M-Z	200	added ('OK')	font/opentype	etag:W/%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/a?subset_id=2&fvd=n5&v=3	D:/Website%20copy/Shin/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/a7188	(from https://use.typekit.net/mfg7yeo.css)
17:23:08	22460/22460	---M--	200	added ('OK')	application/font-woff2	etag:%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/l?subset_id=2&fvd=n6&v=3	D:/Website%20copy/Shin/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/le54d	(from https://use.typekit.net/mfg7yeo.css)
17:23:08	22944/22944	---M--	200	added ('OK')	application/font-woff	etag:%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/d?subset_id=2&fvd=n6&v=3	D:/Website%20copy/Shin/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/de54d	(from https://use.typekit.net/mfg7yeo.css)
17:23:09	35656/35656	---M-Z	200	added ('OK')	font/opentype	etag:W/%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/a?subset_id=2&fvd=n6&v=3	D:/Website%20copy/Shin/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/ae54d	(from https://use.typekit.net/mfg7yeo.css)
17:23:09	1/1	---M--	200	added ('OK')	text/plain	etag:%2264e54145-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/mfg7yeo.css)
